obs,organisation,focal_group,fig_type,year,prevalence,expli_impli,extri_intri,integ_separ,coinc_adjac,stati-dynam,bin_code,dec_code,notes
1,EEA,trees,comparison,2016,0,0,0,0,0,0,,,
2,EEA,birds,temporal,2018,1,0,0,1,0,0,,,
3,EEA,invertebrates,temporal,2017,1,0,0,1,0,0,,,
4,EEA,birds,comparison,2016,0,0,0,0,0,0,,,
5,EEA,birds,piechart,2016,0,0,0,0,0,0,,,
6,SNH_trend_notes,insects,temporal,2011,0,0,0,0,0,0,,,
7,SNH_trend_notes,birds,temporal,2013,1,0,0,1,0,0,,,
8,SNH_trend_notes,birds,geographical,2013,1,0,0,1,0,0,,,
9,SNH_trend_notes,birds,temporal,2012,1,0,0,1,0,0,,,
10,SNH_trend_notes,mammals,geographical,2015,0,0,0,0,0,0,,,
11,SNH_trend_notes,mammals,temporal,2015,1,0,0,1,0,0,,,
12,SNH_trend_notes,mammals,temporal,2015,1,0,0,1,0,0,,,
13,SNH_trend_notes,mammals,temporal,2015,0,0,0,0,0,0,,,
14,SNH_trend_notes,water_quality,geographical,2010,0,0,0,0,0,0,,,
15,SNH_trend_notes,land_use,comparison,2010,0,0,0,0,0,0,,,
16,SNH_trend_notes,plants,temporal,2010,0,0,0,0,0,0,,,
17,JNCC_monitoring,plants,relationship,2008,0,0,0,0,0,0,,,
18,CBD,woodland,geographical,2010,0,0,0,0,0,0,,,
19,EEA,land_use,piechart,2018,0,0,0,0,0,0,,,
20,EEA,land_use,comparison,2018,0,0,0,0,0,0,,,
21,EEA,woodland,comparison,2018,0,0,0,0,0,0,,,
22,EEA,habitat,geographical,2018,0,0,0,0,0,0,,,
